Characteristic;Total ;Under $5,000;$5,000 to  $9,999;$10,000 to $14,999;$15,000 to $19,999;$20,000 to $24,999;$25,000 to $29,999;$30,000 to $34,999;$35,000 to $39,999;$40,000 to $44,999;$45,000 to $49,999;$50,000 to $54,999;$55,000 to $59,999;$60,000 to $64,999;$65,000 to $69,999;$70,000 to $74,999;$75,000 to $79,999;$80,000 to $84,999;$85,000 to $89,999;$90,000 to $94,999;$95,000 to $99,999;$100,000 to $104,999;$105,000 to $109,999;$110,000 to $114,999;$115,000 to $119,999;$120,000 to $124,999;$125,000 to $129,999;$130,000 to $134,999;$135,000 to $139,999;$140,000 to $144,999;$145,000 to $149,999;$150,000 to $154,999;$155,000 to $159,999;$160,000 to $164,999;$165,000 to $169,999;$170,000 to $174,999;$175,000 to $179,999;$180,000 to $184,999;$185,000 to $189,999;$190,000 to $194,999;$195,000 to $199,999;$200,000 and over;Median income;;Mean income;;Gini ratio;;Income per household member;
Family households;82184;1709;1406;2073;2693;3237;3458;3556;3445;3230;3160;3287;2838;2944;2659;2772;2752;2500;2288;2231;1957;2132;1863;1779;1501;1632;1357;1211;1213;1012;935;1111;857;851;631;705;602;611;449;497;364;6676;72165;369;94379;523;0;0;29394;180
.Married-couple families;60251;690;398;807;1277;1705;2027;2246;2144;2168;2140;2291;2016;2122;1987;2058;2164;2008;1823;1847;1608;1790;1548;1553;1244;1367;1135;1062;1087;922;810;971;760;763;564;621;544;573;413;444;346;6204;84626;597;107496;674;0;0;33661;229
.Male householder, nsp;6310;142;152;201;339;305;314;335;367;311;326;309;254;260;236;258;186;192;184;153;137;126;115;81;101;114;109;49;45;42;48;52;42;38;21;42;18;15;28;23;11;225;55861;970;73463;1580;0;0;22756;540
.Female householder, nsp;15622;877;856;1065;1077;1228;1117;975;934;751;694;687;568;561;436;456;402;300;281;232;212;216;200;146;156;150;112;100;81;48;77;87;55;49;46;42;40;22;9;29;7;246;37797;605;52242;746;0;0;15972;241
Nonfamily households;43635;2526;2665;4251;3777;3528;2764;2798;2298;1973;1842;1790;1302;1423;1074;911;898;854;605;619;494;660;369;379;247;356;318;263;167;208;176;203;161;142;129;117;97;67;86;65;67;964;33805;472;50793;516;1;0;40520;414
.Male householder;20542;1195;1009;1489;1533;1385;1089;1360;1012;958;891;1040;693;787;593;518;486;476;314;338;258;336;211;209;154;192;193;147;104;128;97;131;97;93;65;79;70;39;43;32;28;668;40762;453;58694;844;0;0;44345;642
..Living alone;15804;1046;948;1403;1405;1231;951;1170;836;752;693;812;480;582;396;316;344;301;150;212;157;223;115;99;77;112;114;82;30;61;61;90;53;47;25;37;28;22;20;12;16;298;33334;738;48333;786;0;0;48333;786
.Female householder;23093;1331;1655;2762;2243;2143;1675;1438;1286;1015;952;751;609;636;480;393;412;377;290;281;237;324;158;170;93;164;125;116;63;79;78;72;63;49;64;37;27;28;43;33;40;297;29022;500;43765;629;0;0;36740;504
..Living alone¾;19585;1230;1610;2666;2136;1998;1543;1285;1102;873;818;590;454;478;329;267;292;248;169;172;148;204;97;105;57;116;69;67;32;46;42;54;16;27;24;18;14;15;20;5;13;135;25406;326;36768;531;0;0;36768;531
Under 65 years;94820;3458;2924;3483;3707;4157;4027;4450;3959;3869;3624;3926;3230;3406;2962;2981;2968;2714;2426;2302;2031;2326;1899;1784;1439;1697;1405;1228;1170;1029;930;1157;879;875;666;705;590;574;464;494;359;6548;63344;500;85900;455;0;0;31003;176
..15 to 24 years;6361;535;365;396;407;500;474;415;335;333;291;262;270;230;177;176;161;100;130;105;70;78;60;30;27;38;29;38;13;23;27;22;22;21;26;18;14;11;9;5;11;109;36108;811;49712;1426;0;0;19891;582
..25 to 34 years;20047;737;478;628;777;956;992;1158;1040;973;856;921;827;840;722;695;626;649;557;497;448;493;345;357;271;294;278;259;208;187;152;198;126;140;108;101;88;85;90;78;42;771;57366;681;74152;836;0;0;26579;311
..35 to 44 years;21222;580;536;577;724;827;811;939;778;799;818;841;720;748;650;722;719;634;549;507;585;632;468;437;396;474;337;296;273;267;260;295;232;231;133;160;146;124;94;159;92;1653;71417;582;93491;1045;0;0;27878;332
..45 to 54 years;23294;673;659;708;769;807;742;899;935;867;759;964;695;834;747;718;738;734;615;614;467;586;550;471;357;459;407;326;358;310;245;379;310;284;212;237;185;200;141;135;99;2101;73857;1135;97862;1111;0;0;34091;412
..55 to 64 years;23896;933;886;1174;1031;1067;1009;1040;871;897;899;938;719;754;667;669;723;597;575;578;461;538;476;489;388;432;354;310;318;243;245;263;189;199;187;189;157;155;131;117;115;1914;62802;894;86986;1081;0;0;39330;484
65 years and over;30998;777;1147;2842;2763;2608;2195;1904;1784;1335;1378;1151;910;961;771;703;682;640;467;548;420;466;334;374;309;290;270;246;210;191;181;156;138;118;95;116;110;104;72;67;72;1092;38515;469;58964;683;0;0;32718;375
..65 to 74 years;17551;429;548;1280;1161;1200;1125;923;1028;701;780;659;564;583;478;453;433;444;309;367;298;358;258;262;224;215;209;166;158;146;148;128;104;84;75;98;91;79;50;54;52;829;47432;741;68905;981;0;0;35842;497
..75 years and over;13448;348;599;1562;1602;1409;1070;981;756;634;598;492;346;378;293;250;250;196;158;182;123;109;75;111;85;75;60;80;52;44;33;29;34;34;21;18;18;25;22;13;20;264;30635;459;45989;759;0;0;27954;470
Mean age of householder;51;48;53;59;57;55;53;52;52;51;51;50;49;49;49;49;49;49;48;50;48;48;49;50;50;49;49;49;50;49;50;48;49;48;49;50;50;50;49;49;51;50;(X);(X);(X);(X);(X);(X);(X);(X)
One person;35388;2276;2558;4069;3541;3229;2494;2455;1938;1624;1511;1402;934;1060;725;583;636;549;319;384;304;427;211;204;134;229;183;149;61;107;102;144;70;74;50;55;42;37;40;18;29;433;28800;436;41933;467;0;0;41933;467
Two people;42785;1032;727;1266;1546;1939;2208;2091;1993;1898;1832;1962;1650;1539;1460;1454;1437;1307;1263;1167;932;1028;832;875;679;670;632;563;564;410;377;402;338;363;277;326;252;256;179;196;156;2706;63850;707;84378;720;0;0;41571;362
Three people;19423;449;389;441;619;768;659;754;777;748;698;669;672;816;671;696;635;568;522;543;496;488;485;458;360;436;321;318;280;228;261;266;241;189;167;161;175;140;101;140;103;1519;73990;930;96000;1075;0;0;30823;375
Four people;16267;274;230;292;375;436;454;585;536;532;533;535;462;499;502;513;570;511;485;455;437;549;422;404;347;419;334;274;273;251;225;314;195;233;160;169;120;162;136;127;70;1865;87739;971;111190;1169;0;0;27049;295
Five people;7548;128;108;156;255;251;264;272;331;241;251;323;259;254;222;273;244;269;183;207;175;202;175;141;153;156;134;100;127;144;98;123;121;87;76;67;71;61;56;39;49;699;78622;1475;101257;1487;0;0;19707;303
Six people;2813;53;38;63;80;104;86;128;104;102;93;119;94;113;91;103;75;94;81;56;66;67;78;52;55;46;52;55;51;49;33;55;31;30;22;23;20;13;8;31;18;281;77343;2475;102366;2857;0;0;16572;463
Seven people or more;1596;23;22;36;55;39;56;70;65;58;84;68;70;85;61;62;53;57;39;37;41;31;29;24;20;32;18;15;24;31;15;11;22;15;9;22;20;9;17;11;6;138;70514;2200;96066;3928;0;0;11943;510
Mean size of household;3;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;(X);(X);(X);(X);(X);(X);(X);(X)
No earners;29694;3428;2788;4212;3503;2950;2244;1777;1509;1052;924;778;544;569;470;319;332;303;201;238;172;132;130;123;106;66;83;84;65;71;67;32;50;45;25;16;26;32;24;14;8;182;21519;249;31633;339;0;0;19553;217
One earner;46356;752;1154;1900;2576;3253;3249;3514;2989;2749;2546;2481;1791;1933;1410;1371;1383;1151;865;896;666;988;538;554;382;586;434;340;295;226;176;416;196;200;143;163;122;125;81;83;59;1619;46763;322;65209;595;0;0;29714;293
Two earners or more;49769;56;129;213;391;563;729;1064;1245;1403;1532;1818;1805;1864;1853;1993;1935;1900;1827;1716;1614;1672;1564;1481;1260;1335;1157;1050;1020;922;868;866;771;747;593;643;551;520;430;465;364;5839;97231;544;120772;822;0;0;35607;285
..Two earners;39648;53;124;200;367;516;665;992;1109;1236;1347;1609;1541;1574;1568;1628;1589;1584;1465;1372;1279;1329;1169;1194;915;1004;869;769;747;660;625;633;541;530;410;484;394;381;289;339;258;4289;92023;574;116269;876;0;0;37506;323
..Three earners;7608;2;5;13;21;45;58;63;125;152;162;180;227;249;245;304;280;241;281;264;250;262;294;227;257;252;181;219;204;183;190;165;173;138;133;97;106;99;82;89;74;1016;111416;1226;131956;1907;0;0;31535;526
..Four earners or more;2513;0;0;0;3;2;7;9;11;14;23;29;37;41;41;61;66;75;81;80;85;81;101;59;88;78;107;62;69;80;52;68;57;79;49;62;51;41;58;37;33;534;136308;3663;157966;3211;0;0;28224;637
Mean number of earners;1;0;0;0;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;(X);(X);(X);(X);(X);(X);(X);(X)
....Total;125819;4235;4071;6324;6470;6765;6222;6354;5743;5203;5002;5078;4140;4367;3733;3683;3650;3354;2893;2850;2452;2792;2232;2158;1748;1987;1675;1474;1380;1220;1111;1313;1017;993;761;822;700;677;536;561;431;7640;56516;321;79263;403;0;0;31304;169
Worked;82861;685;1125;1757;2465;3272;3262;3779;3496;3438;3374;3634;3053;3208;2817;2868;2839;2628;2310;2244;2032;2318;1877;1820;1477;1703;1431;1221;1172;1055;979;1126;863;864;673;725;606;605;487;496;393;6686;73182;575;95769;562;0;0;35237;221
.Worked at full time jobs;68874;242;456;878;1591;2288;2487;3072;2824;2815;2784;3056;2616;2842;2437;2505;2424;2291;2071;1958;1767;2049;1683;1637;1321;1508;1299;1052;1045;958;869;1038;771;780;609;637;548;548;426;437;355;5899;77554;495;100623;640;0;0;36677;252
...50 weeks or more;59702;71;154;462;1065;1745;1983;2592;2420;2454;2396;2631;2270;2471;2159;2194;2149;2089;1823;1752;1604;1857;1509;1492;1183;1352;1175;972;972;871;772;965;703;724;528;598;512;502;382;384;319;5445;81224;380;104363;679;0;0;37930;268
...27 to 49 weeks;5884;24;107;155;288;338;320;340;234;231;282;285;216;264;187;206;184;160;160;166;113;145;130;105;106;119;89;53;52;74;66;53;43;43;51;30;28;33;39;29;25;313;61879;977;82483;1668;0;0;30419;638
...26 weeks or less;3287;148;195;261;237;205;184;140;170;129;106;139;130;108;91;104;91;43;89;40;50;47;43;40;33;38;35;27;22;12;31;20;25;13;30;10;9;13;4;23;11;141;43786;2137;65170;2229;1;0;24540;896
.Worked at part time jobs;13988;443;669;878;874;984;776;707;671;623;590;578;437;365;380;363;415;336;239;285;265;268;195;183;156;194;133;170;126;98;110;88;92;84;64;87;58;57;61;59;38;787;48145;731;71868;1021;0;0;27730;403
...50 weeks or more¾;7852;83;255;434;464;568;467;389;397;356;341;323;260;226;231;207;264;219;117;159;164;161;109;104;94;124;72;117;71;70;67;53;54;61;36;49;32;31;43;37;23;520;52214;978;78093;1412;0;0;29642;528
...27 to 49 weeks¾;2887;64;158;195;180;202;137;170;141;139;138;117;86;74;73;66;91;63;56;58;63;65;38;47;27;33;32;30;31;18;29;20;20;11;13;17;14;10;9;8;10;133;47344;1689;67814;2086;0;0;26898;836
...26 weeks or less¾;3249;295;256;249;230;215;172;148;133;128;111;138;91;65;75;91;61;55;67;68;38;42;47;31;35;37;29;23;24;9;14;14;18;12;14;21;12;16;10;15;4;134;37592;1900;60428;2444;1;0;23690;917
Did not work;42957;3550;2946;4568;4005;3493;2960;2575;2247;1766;1628;1443;1087;1159;916;815;811;726;583;606;420;474;355;338;271;284;244;253;208;164;132;188;154;128;88;97;93;72;49;65;39;954;29915;311;47426;484;1;0;21819;224
....Total, 25 years and over;119457;3700;3706;5928;6064;6266;5749;5940;5408;4870;4711;4815;3871;4137;3556;3508;3489;3254;2763;2745;2381;2714;2173;2128;1721;1949;1646;1436;1367;1197;1085;1291;996;972;735;803;686;667;527;556;420;7531;58044;443;80837;418;0;0;31903;175
Less than 9th grade;4671;260;384;656;499;429;338;277;243;228;178;147;131;121;119;75;105;57;37;54;30;44;33;15;20;28;20;10;19;4;5;5;11;5;5;11;2;1;0;5;4;55;26252;640;39853;1149;0;0;13691;390
9th to 12th grade, no diploma;7640;545;723;935;799;668;517;503;400;342;324;280;233;232;123;158;84;94;81;73;56;37;50;46;43;40;22;20;21;15;14;16;23;13;14;10;13;7;2;6;0;58;26356;564;38678;1009;0;0;14689;394
High school graduate (includes equivalency);32349;1187;1264;2156;2253;2439;2204;2086;1823;1503;1503;1480;1111;1185;982;958;840;780;648;581;505;577;434;431;326;383;323;242;199;190;135;210;143;130;109;100;73;82;54;64;29;624;42047;356;57526;576;0;0;23351;254
Some college, no degree;21477;678;634;1030;1148;1237;1124;1252;1168;1038;942;1007;757;886;765;723;677;587;561;494;440;425;377;356;318;274;250;188;229;146;158;153;117;136;85;101;102;82;60;43;57;674;51906;482;67816;762;0;0;27247;319
Associate degree;12298;301;249;430;533;564;578;639;606;530;452;523;472;480;446;437;437;448;366;319;317;361;233;237;228;232;212;147;149;136;142;117;90;82;45;66;61;48;57;41;27;461;62485;895;77148;1046;0;0;29613;391
Bachelor's degree or more;41022;729;452;721;831;929;987;1184;1168;1228;1313;1378;1166;1233;1122;1156;1346;1288;1069;1224;1033;1271;1046;1042;786;992;818;829;749;706;630;791;612;605;478;516;434;447;354;397;303;5659;94934;909;119662;962;0;0;47299;387
..Bachelor's degree;25063;445;306;538;563;617;638;843;830;842;824;905;797;794;718;733;844;815;693;771;689;818;669;644;477;621;474;470;417;452;342;480;350;342;253;267;254;212;204;236;165;2711;87991;1127;108940;1014;0;0;42856;403
..Master's degree;11714;217;112;131;198;233;297;272;293;306;368;338;287;342;311;328;398;377;298;353;276;337;282;312;252;280;254;272;243;203;202;220;182;179;153;157;127;179;103;117;103;1825;101323;1107;125084;1702;0;0;49816;667
..Professional degree;1842;34;7;31;26;26;23;24;20;39;55;56;25;41;39;44;32;38;32;45;29;46;19;33;26;51;21;46;30;17;33;41;32;31;27;49;17;22;26;15;14;581;136640;6628;188176;6305;0;0;73209;2380
..Doctorate degree;2402;34;27;21;44;53;29;45;25;41;65;79;57;56;54;51;72;58;47;54;39;70;77;54;31;41;68;40;60;33;53;49;48;53;46;43;36;34;20;30;21;542;121244;4993;152536;4678;0;0;61880;1913
Owner Occupied;79903;1677;1354;2685;3143;3456;3359;3446;3267;3019;2954;3090;2554;2800;2555;2478;2486;2389;2127;2102;1869;2139;1726;1707;1366;1571;1303;1196;1106;1011;943;1094;818;804;632;656;591;581;436;477;361;6576;71018;413;93615;583;0;0;35835;230
Renter Occupied;44265;2306;2601;3498;3193;3166;2773;2824;2402;2105;1985;1932;1543;1524;1152;1183;1137;936;740;738;560;626;492;432;373;407;362;271;265;198;163;219;197;185;125;156;109;93;96;84;68;1047;38318;472;54761;483;0;0;22784;225
Occupier Paid No Cash Rent;1650;252;115;141;134;144;90;85;74;80;63;55;43;43;26;23;27;29;25;10;23;26;14;18;10;9;10;7;9;11;6;0;2;4;3;10;0;3;3;0;3;17;26427;1383;41602;2001;1;0;19907;950
